scientificName,eBird_Species_Code,eBird_common_name
Montecincla jerdoni,bkclau1,Banasura Laughingthrush
Montecincla cachinnans,bkclau2,Nilgiri Laughingthrush
Montecincla fairbanki,kerlau2,Palani Laughingthrush
Montecincla meridionalis,kerlau3,Ashambu Laughingthrush
Heterophasia picaoides,lotsib1,Long-tailed Sibia
Heterophasia auricularis,whesib1,White-eared Sibia
Heterophasia capistrata,rufsib1,Rufous Sibia
Heterophasia pulchella,beasib1,Beautiful Sibia
Heterophasia gracilis,grysib1,Gray Sibia
Heterophasia melanoleuca,blbsib1,Black-backed Sibia
Heterophasia desgodinsi,blhsib1,Black-headed Sibia
Actinodura nipalensis,hotbar1,Hoary-throated Barwing
Actinodura morrisoniana,taibar1,Taiwan Barwing
Actinodura waldeni,sttbar1,Streak-throated Barwing
Actinodura souliei,strbar1,Streaked Barwing
Actinodura cyanouroptera,blwmin1,Blue-winged Minla
Actinodura strigula,chtmin1,Chestnut-tailed Minla
Actinodura egertoni,rufbar1,Rusty-fronted Barwing
Actinodura ramsayi,spebar1,Spectacled Barwing
Actinodura sodangorum,bkcbar1,Black-crowned Barwing
Leiothrix lutea,reblei,Red-billed Leiothrix
Leiothrix argentauris,siemes1,Silver-eared Mesia
Minla ignotincta,retmin1,Red-tailed Minla
Leioptila annectens,rubsib1,Rufous-backed Sibia
Liocichla bugunorum,buglio1,Bugun Liocichla
Liocichla omeiensis,gyflio1,Gray-faced Liocichla
Liocichla steerii,stelio1,Steere's Liocichla
Liocichla phoenicea,reflio2,Red-faced Liocichla
Liocichla ripponi,reflio3,Scarlet-faced Liocichla
Argya malcolmi,lagbab2,Large Gray Babbler
Argya cinereifrons,ashlau1,Ashy-headed Laughingthrush
Argya longirostris,slbbab1,Slender-billed Babbler
Argya subrufa,rufbab3,Rufous Babbler
Argya rufescens,orbbab1,Orange-billed Babbler
Argya striata,junbab2,Jungle Babbler
Argya affinis,yebbab1,Yellow-billed Babbler
Argya rubiginosa,rufcha2,Rufous Chatterer
Argya aylmeri,scacha1,Scaly Chatterer
Argya altirostris,irabab1,Iraq Babbler
Argya huttoni,combab1,Afghan Babbler
Argya caudata,combab3,Common Babbler
Argya fulva,fulcha1,Fulvous Chatterer
Argya squamiceps,arabab1,Arabian Babbler
Argya earlei,strbab1,Striated Babbler
Argya gularis,whtbab1,White-throated Babbler
Turdoides nipalensis,spibab1,Spiny Babbler
Turdoides atripennis,capbab1,Capuchin Babbler
Turdoides gilberti,wtmbab1,White-throated Mountain-Babbler
Turdoides chapini,chmbab1,Chapin's Mountain-Babbler
Turdoides rufocinctus,rcmbab1,Red-collared Mountain-Babbler
Turdoides plebejus,brobab1,Brown Babbler
Turdoides leucopygia,whrbab2,White-rumped Babbler
Turdoides hindei,hipbab1,Hinde's Pied-Babbler
Turdoides squamulata,scabab2,Scaly Babbler
Turdoides jardineii,armbab1,Arrow-marked Babbler
Turdoides gymnogenys,bacbab1,Bare-cheeked Babbler
Turdoides leucocephala,crebab1,Cretzschmar's Babbler
Turdoides reinwardtii,blabab2,Blackcap Babbler
Turdoides tenebrosa,dusbab2,Dusky Babbler
Turdoides bicolor,sopbab1,Southern Pied-Babbler
Turdoides hartlaubii,harbab1,Hartlaub's Babbler
Turdoides sharpei,bklbab1,Black-lored Babbler
Turdoides melanops,bkfbab1,Black-faced Babbler
Turdoides hypoleuca,norpib1,Northern Pied-Babbler
Garrulax merulinus,spblau1,Spot-breasted Laughingthrush
Garrulax annamensis,orblau1,Orange-breasted Laughingthrush
Garrulax canorus,melthr,Chinese Hwamei
Garrulax taewanus,taihwa1,Taiwan Hwamei
Garrulax monileger,lenlau1,Lesser Necklaced Laughingthrush
Garrulax rufifrons,ruflau1,Rufous-fronted Laughingthrush
Garrulax palliatus,sunlau1,Sunda Laughingthrush
Garrulax leucolophus,whclau2,White-crested Laughingthrush
Garrulax bicolor,sumlau1,Sumatran Laughingthrush
Garrulax milleti,blhlau1,Black-hooded Laughingthrush
Garrulax strepitans,whnlau1,White-necked Laughingthrush
Garrulax ferrarius,camlau1,Cambodian Laughingthrush
Garrulax maesi,grylau1,Gray Laughingthrush
Garrulax castanotis,ruclau3,Rufous-cheeked Laughingthrush
Ianthocincla sukatschewi,suklau1,Snowy-cheeked Laughingthrush
Ianthocincla rufogularis,ruclau1,Rufous-chinned Laughingthrush
Ianthocincla konkakinhensis,chelau1,Chestnut-eared Laughingthrush
Ianthocincla cineracea,moulau1,Moustached Laughingthrush
Ianthocincla ocellata,spolau1,Spotted Laughingthrush
Ianthocincla maxima,gialau1,Giant Laughingthrush
Ianthocincla bieti,bielau1,Biet's Laughingthrush
Ianthocincla lunulata,barlau1,Barred Laughingthrush
Pterorhinus delesserti,wynlau1,Wayanad Laughingthrush
Pterorhinus gularis,ruvlau1,Rufous-vented Laughingthrush
Pterorhinus vassali,whclau1,White-cheeked Laughingthrush
Pterorhinus galbanus,yetlau1,Yellow-throated Laughingthrush
Pterorhinus courtoisi,buclau1,Blue-crowned Laughingthrush
Pterorhinus mitratus,chclau3,Chestnut-capped Laughingthrush
Pterorhinus treacheri,chhlau1,Chestnut-hooded Laughingthrush
Pterorhinus ruficollis,runlau1,Rufous-necked Laughingthrush
Pterorhinus nuchalis,chblau1,Chestnut-backed Laughingthrush
Pterorhinus chinensis,bltlau1,Black-throated Laughingthrush
Pterorhinus sannio,whblau1,White-browed Laughingthrush
Pterorhinus perspicillatus,maslau1,Masked Laughingthrush
Pterorhinus pectoralis,gnlthr,Greater Necklaced Laughingthrush
Pterorhinus davidi,pedlau1,Pere David's Laughingthrush
Pterorhinus woodi,chibub1,Mount Victoria Babax
Pterorhinus lanceolatus,chibab2,Chinese Babax
Pterorhinus waddelli,giabab1,Giant Babax
Pterorhinus koslowi,tibbab1,Tibetan Babax
Pterorhinus albogularis,whtlau1,White-throated Laughingthrush
Pterorhinus ruficeps,ruclau2,Rufous-crowned Laughingthrush
Pterorhinus caerulatus,gyslau,Gray-sided Laughingthrush
Pterorhinus berthemyi,buflau1,Buffy Laughingthrush
Pterorhinus poecilorhynchus,ruslau1,Rusty Laughingthrush
Corthylio calendula,ruckin,Ruby-crowned Kinglet
Regulus satrapa,gockin,Golden-crowned Kinglet
Regulus regulus,goldcr1,Goldcrest
Regulus goodfellowi,flamec1,Flamecrest
Regulus madeirensis,firecr3,Madeira Firecrest
Regulus ignicapilla,firecr1,Common Firecrest
Tichodroma muraria,wallcr1,Wallcreeper
Sitta castanea,chbnut2,Indian Nuthatch
Sitta cinnamoventris,chbnut3,Chestnut-bellied Nuthatch
Sitta neglecta,chbnut4,Burmese Nuthatch
Sitta europaea,eurnut2,Eurasian Nuthatch
Sitta nagaensis,chvnut1,Chestnut-vented Nuthatch
Sitta cashmirensis,kasnut1,Kashmir Nuthatch
Sitta himalayensis,whtnut1,White-tailed Nuthatch
Sitta victoriae,whbnut1,White-browed Nuthatch
Sitta canadensis,rebnut,Red-breasted Nuthatch
Sitta leucopsis,whcnut1,White-cheeked Nuthatch
Sitta przewalskii,prznut1,Przevalski's Nuthatch
Sitta carolinensis,whbnut,White-breasted Nuthatch
Sitta pygmaea,pygnut,Pygmy Nuthatch
Sitta pusilla,bnhnut,Brown-headed Nuthatch
Sitta insularis,bnhnut2,Bahama Nuthatch
Sitta whiteheadi,cornut1,Corsican Nuthatch
Sitta ledanti,algnut1,Algerian Nuthatch
Sitta krueperi,krunut1,Krüper's Nuthatch
Sitta villosa,snbnut1,Snowy-browed Nuthatch
Sitta yunnanensis,yunnut1,Yunnan Nuthatch
Sitta neumayer,rocnut1,Western Rock Nuthatch
Sitta tephronota,pernut1,Eastern Rock Nuthatch
Sitta frontalis,vefnut1,Velvet-fronted Nuthatch
Sitta solangiae,yebnut1,Yellow-billed Nuthatch
Sitta oenochlamys,subnut1,Sulphur-billed Nuthatch
Sitta azurea,blunut1,Blue Nuthatch
Sitta magna,gianut1,Giant Nuthatch
Sitta formosa,beanut1,Beautiful Nuthatch
Certhia familiaris,eurtre1,Eurasian Treecreeper
Certhia hodgsoni,eurtre3,Hodgson's Treecreeper
Certhia tianquanensis,sictre1,Sichuan Treecreeper
Certhia americana,brncre,Brown Creeper
Certhia brachydactyla,shttre1,Short-toed Treecreeper
Certhia himalayana,battre1,Bar-tailed Treecreeper
Certhia nipalensis,ruftre4,Rusty-flanked Treecreeper
Certhia discolor,bnttre1,Sikkim Treecreeper
Certhia manipurensis,bnttre2,Hume's Treecreeper
Salpornis salvadori,spocre2,African Spotted Creeper
Salpornis spilonota,spocre3,Indian Spotted Creeper
Microbates collaris,colgna1,Collared Gnatwren
Microbates cinereiventris,tafgna1,Tawny-faced Gnatwren
Ramphocaenus melanurus,lobgna5,Long-billed Gnatwren
Ramphocaenus sticturus,lobgna4,Chattering Gnatwren
Polioptila guianensis,guigna3,Guianan Gnatcatcher
Polioptila schistaceigula,sltgna1,Slate-throated Gnatcatcher
Polioptila clementsi,iqugna1,Iquitos Gnatcatcher
Polioptila facilis,guigna2,Rio Negro Gnatcatcher
Polioptila attenboroughi,inagna1,Inambari Gnatcatcher
Polioptila paraensis,guigna4,Klages's Gnatcatcher
Polioptila dumicola,masgna1,Masked Gnatcatcher
Polioptila lactea,crbgna1,Creamy-bellied Gnatcatcher
Polioptila lembeyei,cubgna1,Cuban Gnatcatcher
Polioptila plumbea,trogna1,Tropical Gnatcatcher
Polioptila albiventris,whlgna3,Yucatan Gnatcatcher
Polioptila bilineata,trogna2,White-browed Gnatcatcher
Polioptila caerulea,buggna,Blue-gray Gnatcatcher
Polioptila melanura,bktgna,Black-tailed Gnatcatcher
Polioptila californica,calgna,California Gnatcatcher
Polioptila nigriceps,bkcgna,Black-capped Gnatcatcher
Polioptila albiloris,whlgna2,White-lored Gnatcatcher
Salpinctes obsoletus,rocwre,Rock Wren
Microcerculus philomela,nigwre1,Nightingale Wren
Microcerculus marginatus,scbwre1,Scaly-breasted Wren
Microcerculus ustulatus,fluwre1,Flutist Wren
Microcerculus bambla,wibwre1,Wing-banded Wren
Odontorchilus branickii,gymwre1,Gray-mantled Wren
Odontorchilus cinereus,tobwre1,Tooth-billed Wren
Catherpes mexicanus,canwre,Canyon Wren
Hylorchilus sumichrasti,sumwre1,Sumichrast's Wren
Hylorchilus navai,navwre1,Nava's Wren
Ferminia cerverai,zapwre1,Zapata Wren
Troglodytes aedon,houwre,House Wren
Troglodytes cobbi,houwre5,Cobb's Wren
Troglodytes sissonii,socwre2,Socorro Wren
Troglodytes tanneri,clawre1,Clarion Wren
Troglodytes rufociliatus,rubwre2,Rufous-browed Wren
Troglodytes ochraceus,ochwre1,Ochraceous Wren
Troglodytes solstitialis,mouwre1,Mountain Wren
Troglodytes monticola,samwre1,Santa Marta Wren
Troglodytes rufulus,tepwre1,Tepui Wren
Troglodytes troglodytes,winwre4,Eurasian Wren
Troglodytes pacificus,pacwre1,Pacific Wren
Troglodytes hiemalis,winwre3,Winter Wren
Thryorchilus browni,timwre1,Timberline Wren
Cistothorus stellaris,sedwre1,Sedge Wren
Cistothorus platensis,sedwre,Grass Wren
Cistothorus meridae,merwre1,Merida Wren
Cistothorus apolinari,apowre1,Apolinar's Wren
Cistothorus palustris,marwre,Marsh Wren
Thryothorus ludovicianus,carwre,Carolina Wren
Thryomanes bewickii,bewwre,Bewick's Wren
Campylorhynchus albobrunneus,whhwre1,White-headed Wren
Campylorhynchus zonatus,babwre1,Band-backed Wren
Campylorhynchus megalopterus,grbwre1,Gray-barred Wren
Campylorhynchus chiapensis,giawre1,Giant Wren
Campylorhynchus rufinucha,runwre1,Rufous-naped Wren
Campylorhynchus gularis,spowre1,Spotted Wren
Campylorhynchus jocosus,bouwre1,Boucard's Wren
Campylorhynchus yucatanicus,yucwre1,Yucatan Wren
Campylorhynchus brunneicapillus,cacwre,Cactus Wren
Campylorhynchus nuchalis,stbwre2,Stripe-backed Wren
Campylorhynchus fasciatus,faswre1,Fasciated Wren
Campylorhynchus griseus,bicwre1,Bicolored Wren
Campylorhynchus turdinus,thlwre1,Thrush-like Wren
Pheugopedius spadix,sohwre1,Sooty-headed Wren
Pheugopedius fasciatoventris,blbwre1,Black-bellied Wren
Pheugopedius euophrys,pltwre1,Plain-tailed Wren
Pheugopedius eisenmanni,incwre1,Inca Wren
Pheugopedius mystacalis,whiwre1,Whiskered Wren
Pheugopedius genibarbis,mouwre2,Moustached Wren
Pheugopedius coraya,corwre1,Coraya Wren
Pheugopedius rutilus,rubwre1,Rufous-breasted Wren
Pheugopedius maculipectus,spbwre1,Spot-breasted Wren
Pheugopedius sclateri,spbwre2,Speckle-breasted Wren
Pheugopedius felix,hapwre1,Happy Wren
Pheugopedius atrogularis,bltwre1,Black-throated Wren
Thryophilus sinaloa,sinwre1,Sinaloa Wren
Thryophilus pleurostictus,banwre1,Banded Wren
Thryophilus rufalbus,rawwre1,Rufous-and-white Wren
Thryophilus sernai,antwre2,Antioquia Wren
Thryophilus nicefori,nicwre1,Niceforo's Wren
Cantorchilus thoracicus,stbwre1,Stripe-breasted Wren
Cantorchilus leucopogon,sttwre1,Stripe-throated Wren
Cantorchilus modestus,plawre1,Cabanis's Wren
Cantorchilus zeledoni,plawre3,Canebrake Wren
Cantorchilus elutus,istwre1,Isthmian Wren
Cantorchilus semibadius,rivwre1,Riverside Wren
Cantorchilus nigricapillus,baywre1,Bay Wren
Cantorchilus superciliaris,supwre1,Superciliated Wren
Cantorchilus leucotis,bubwre1,Buff-breasted Wren
Cantorchilus longirostris,lobwre1,Long-billed Wren
Cantorchilus guarayanus,fabwre1,Fawn-breasted Wren
Cantorchilus griseus,grywre1,Gray Wren
Cinnycerthia unirufa,rufwre1,Rufous Wren
Cinnycerthia olivascens,shawre1,Sharpe's Wren
Cinnycerthia peruana,perwre1,Peruvian Wren
Cinnycerthia fulva,fulwre1,Fulvous Wren
Uropsila leucogastra,whbwre1,White-bellied Wren
Henicorhina leucosticta,wbwwre1,White-breasted Wood-Wren
Henicorhina leucoptera,bwwwre1,Bar-winged Wood-Wren
Henicorhina leucophrys,gbwwre1,Gray-breasted Wood-Wren
Henicorhina anachoreta,gybwow3,Hermit Wood-Wren
Henicorhina negreti,munwow1,Munchique Wood-Wren
Cyphorhinus thoracicus,chbwre1,Chestnut-breasted Wren
Cyphorhinus phaeocephalus,sonwre1,Song Wren
Cyphorhinus arada,muswre2,Musician Wren
Elachura formosa,spwbab1,Spotted Elachura
Cinclus cinclus,whtdip1,White-throated Dipper
Cinclus pallasii,brodip1,Brown Dipper
Cinclus mexicanus,amedip,American Dipper
Cinclus leucocephalus,whcdip1,White-capped Dipper
Cinclus schulzii,rutdip1,Rufous-throated Dipper
Buphagus erythrorynchus,reboxp1,Red-billed Oxpecker
Buphagus africanus,yeboxp1,Yellow-billed Oxpecker
Rhabdornis mystacalis,stsrha2,Stripe-sided Rhabdornis
Rhabdornis grandis,lobrha1,Long-billed Rhabdornis
Rhabdornis inornatus,stbrha1,Stripe-breasted Rhabdornis
Rhabdornis rabori,visrha1,Visayan Rhabdornis
Enodes erythrophris,fibmyn1,Fiery-browed Myna
Scissirostrum dubium,fibmyn2,Finch-billed Myna
Aplonis metallica,metsta1,Metallic Starling
Aplonis mystacea,yeesta1,Yellow-eyed Starling
Aplonis crassa,tansta1,Tanimbar Starling
Aplonis feadensis,atosta1,Atoll Starling
Aplonis insularis,rensta1,Rennell Starling
Aplonis magna,lotsta1,Long-tailed Starling
Aplonis brunneicapillus,whesta2,White-eyed Starling
Aplonis grandis,brwsta1,Brown-winged Starling
Aplonis dichroa,sacsta1,Makira Starling
Aplonis zelandica,ruwsta1,Rusty-winged Starling
Aplonis striata,strsta1,Striated Starling
Aplonis pelzelni,pohsta1,Pohnpei Starling
Aplonis cantoroides,sinsta1,Singing Starling
Aplonis santovestris,mousta1,Mountain Starling
Aplonis panayensis,asgsta1,Asian Glossy Starling
Aplonis mysolensis,molsta1,Moluccan Starling
Aplonis minor,shtsta1,Short-tailed Starling
Aplonis opaca,micsta1,Micronesian Starling
Aplonis tabuensis,polsta1,Polynesian Starling
Aplonis atrifusca,samsta1,Samoan Starling
Aplonis corvina,kossta1,Kosrae Starling
Aplonis cinerascens,rarsta1,Rarotonga Starling
Aplonis mavornata,myssta1,Mysterious Starling
Aplonis fusca,norsta1,Norfolk Starling
Aplonis ulietensis,raista2,Raiatea Starling
Basilornis celebensis,sulmyn1,Sulawesi Myna
Basilornis galeatus,helmyn1,Helmeted Myna
Basilornis corythaix,locmyn1,Long-crested Myna
Goodfellowia miranda,apomyn2,Apo Myna
Sarcops calvus,coleto1,Coleto
Streptocitta albicollis,whnmyn1,White-necked Myna
Streptocitta albertinae,baemyn1,Bare-eyed Myna
Mino dumontii,yefmyn1,Yellow-faced Myna
Mino anais,golmyn1,Golden Myna
Mino kreffti,lotmyn1,Long-tailed Myna
Ampeliceps coronatus,gocmyn1,Golden-crested Myna
Gracula ptilogenys,ceymyn1,Sri Lanka Myna
Gracula religiosa,hilmyn,Common Hill Myna
Gracula venerata,cohmyn2,Tenggara Hill Myna
Gracula indica,sohmyn1,Southern Hill Myna
Sturnus vulgaris,eursta,European Starling
Sturnus unicolor,sposta1,Spotless Starling
Creatophora cinerea,watsta1,Wattled Starling
Pastor roseus,rossta2,Rosy Starling
Agropsar sturninus,dausta1,Daurian Starling
Agropsar philippensis,chcsta1,Chestnut-cheeked Starling
Gracupica nigricollis,bkcsta1,Black-collared Starling
Gracupica contra,aspsta2,Indian Pied Starling
Gracupica floweri,aspsta7,Siamese Pied Starling
Gracupica jalla,aspsta3,Javan Pied Starling
Sturnornis albofrontatus,whfsta2,White-faced Starling
Leucopsar rothschildi,balmyn1,Bali Myna
Necropsar rodericanus,rodsta2,Rodrigues Starling
Fregilupus varius,reusta1,Reunion Starling
Sturnia sinensis,whssta2,White-shouldered Starling
Sturnia pagodarum,brasta1,Brahminy Starling
Sturnia malabarica,chtsta2,Chestnut-tailed Starling
Sturnia blythii,malsta1,Malabar Starling
Sturnia erythropygia,whhsta2,White-headed Starling
Spodiopsar sericeus,rebsta1,Red-billed Starling
Spodiopsar cineraceus,whcsta1,White-cheeked Starling
Acridotheres tristis,commyn,Common Myna
Acridotheres ginginianus,banmyn1,Bank Myna
Acridotheres burmannicus,vibsta1,Burmese Myna
Acridotheres leucocephalus,vibsta4,Vinous-breasted Myna
Acridotheres melanopterus,bkwsta1,Black-winged Myna
Acridotheres fuscus,junmyn1,Jungle Myna
Acridotheres javanicus,whvmyn,Javan Myna
Acridotheres cinereus,pabmyn1,Pale-bellied Myna
Acridotheres albocinctus,colmyn1,Collared Myna
Acridotheres grandis,whvmyn1,Great Myna
Acridotheres cristatellus,cremyn,Crested Myna
Hartlaubius auratus,madsta1,Madagascar Starling
Cinnyricinclus leucogaster,vibsta2,Violet-backed Starling
Onychognathus tenuirostris,slbsta1,Slender-billed Starling
Onychognathus nabouroup,pawsta1,Pale-winged Starling
Onychognathus neumanni,neusta1,Neumann's Starling
Onychognathus morio,rewsta1,Red-winged Starling
Onychognathus fulgidus,chwsta1,Chestnut-winged Starling
Onychognathus walleri,walsta1,Waller's Starling
Onychognathus tristramii,trista1,Tristram's Starling
Onychognathus albirostris,whbsta1,White-billed Starling
Onychognathus salvadorii,brcsta1,Bristle-crowned Starling
Onychognathus blythii,somsta1,Somali Starling
Onychognathus frater,socsta1,Socotra Starling
Saroglossa spilopterus,spwsta1,Spot-winged Starling
Neocichla gutturalis,babsta1,Babbling Starling
Grafisia torquata,whcsta2,White-collared Starling
Speculipastor bicolor,magsta1,Magpie Starling
Pholia sharpii,shasta2,Sharpe's Starling
Arizelopsar femoralis,abbsta2,Abbott's Starling
Poeoptera lugubris,natsta1,Narrow-tailed Starling
Poeoptera stuhlmanni,stusta1,Stuhlmann's Starling
Poeoptera kenricki,kensta1,Kenrick's Starling
Notopholia corusca,bbgsta1,Black-bellied Starling
Hylopsar purpureiceps,phgsta1,Purple-headed Starling
Hylopsar cupreocauda,ctgsta1,Copper-tailed Starling
Lamprotornis hildebrandti,hilsta1,Hildebrandt's Starling
Lamprotornis shelleyi,shesta1,Shelley's Starling
Lamprotornis australis,bugsta1,Burchell's Starling
Lamprotornis purpuroptera,ruegls1,Rüppell's Starling
Lamprotornis caudatus,ltgsta1,Long-tailed Glossy Starling
Lamprotornis mevesii,megsta1,Meves's Starling
Lamprotornis unicolor,ashsta2,Ashy Starling
Lamprotornis splendidus,spgsta1,Splendid Starling
Lamprotornis ornatus,prgsta1,Principe Starling
Lamprotornis regius,gobsta5,Golden-breasted Starling
Lamprotornis superbus,supsta1,Superb Starling
Lamprotornis pulcher,chbsta1,Chestnut-bellied Starling
Lamprotornis bicolor,afpsta1,African Pied Starling
Lamprotornis albicapillus,whcsta3,White-crowned Starling
Lamprotornis fischeri,fissta1,Fischer's Starling
Lamprotornis chloropterus,lbesta1,Lesser Blue-eared Starling
Lamprotornis acuticaudus,stgsta1,Sharp-tailed Starling
Lamprotornis chalybaeus,gbesta1,Greater Blue-eared Starling
Lamprotornis iris,emesta1,Emerald Starling
Lamprotornis purpureus,pugsta1,Purple Starling
Lamprotornis nitens,capgls1,Cape Starling
Lamprotornis chalcurus,btgsta1,Bronze-tailed Starling
Melanotis caerulescens,blumoc,Blue Mockingbird
Melanotis hypoleucus,bawmoc1,Blue-and-white Mockingbird
Melanoptila glabrirostris,blacat1,Black Catbird
Dumetella carolinensis,grycat,Gray Catbird
Ramphocinclus brachyurus,whbthr1,White-breasted Thrasher
Allenia fusca,scbthr,Scaly-breasted Thrasher
Margarops fuscatus,peethr1,Pearly-eyed Thrasher
Cinclocerthia ruficauda,brotre1,Brown Trembler
Cinclocerthia gutturalis,gratre1,Gray Trembler
Toxostoma curvirostre,cubthr,Curve-billed Thrasher
Toxostoma ocellatum,ocethr1,Ocellated Thrasher
Toxostoma rufum,brnthr,Brown Thrasher
Toxostoma longirostre,lobthr,Long-billed Thrasher
Toxostoma guttatum,cozthr1,Cozumel Thrasher
Toxostoma bendirei,benthr,Bendire's Thrasher
Toxostoma cinereum,grathr1,Gray Thrasher
Toxostoma redivivum,calthr,California Thrasher
Toxostoma lecontei,lecthr,LeConte's Thrasher
Toxostoma crissale,crithr,Crissal Thrasher
Oreoscoptes montanus,sagthr,Sage Thrasher
Mimus thenca,chimoc1,Chilean Mockingbird
Mimus patagonicus,patmoc1,Patagonian Mockingbird
Mimus saturninus,chbmoc1,Chalk-browed Mockingbird
Mimus triurus,whbmoc1,White-banded Mockingbird
Mimus dorsalis,brbmoc1,Brown-backed Mockingbird
Mimus gundlachii,bahmoc,Bahama Mockingbird
Mimus parvulus,galmoc1,Galapagos Mockingbird
Mimus trifasciatus,chamoc1,Floreana Mockingbird
Mimus macdonaldi,hoomoc1,Española Mockingbird
Mimus melanotis,chamoc2,San Cristobal Mockingbird
Mimus longicaudatus,lotmoc1,Long-tailed Mockingbird
Mimus graysoni,socmoc1,Socorro Mockingbird
Mimus gilvus,tromoc,Tropical Mockingbird
Mimus polyglottos,normoc,Northern Mockingbird
Grandala coelicolor,granda1,Grandala
Sialia sialis,easblu,Eastern Bluebird
Sialia mexicana,wesblu,Western Bluebird
Sialia currucoides,moublu,Mountain Bluebird
Stizorhina fraseri,rufthr1,Rufous Flycatcher-Thrush
Stizorhina finschi,fifthr1,Finsch's Flycatcher-Thrush
Neocossyphus rufus,rtathr1,Red-tailed Ant-Thrush
Neocossyphus poensis,wtathr1,White-tailed Ant-Thrush
Myadestes townsendi,towsol,Townsend's Solitaire
Myadestes occidentalis,brbsol1,Brown-backed Solitaire
Myadestes elisabeth,cubsol1,Cuban Solitaire
Myadestes genibarbis,rutsol1,Rufous-throated Solitaire
Myadestes melanops,blfsol1,Black-faced Solitaire
Myadestes coloratus,varsol1,Varied Solitaire
Myadestes unicolor,slcsol1,Slate-colored Solitaire
Myadestes ralloides,andsol1,Andean Solitaire
Myadestes myadestinus,kamao,Kamao
Myadestes woahensis,amaui,Amaui
Myadestes lanaiensis,olomao,Olomao
Myadestes obscurus,omao,Omao
Myadestes palmeri,puaioh,Puaiohi
Zoothera dixoni,lotthr1,Long-tailed Thrush
Zoothera mollissima,alpthr1,Alpine Thrush
Zoothera salimalii,himthr1,Himalayan Thrush
Zoothera griseiceps,sicthr1,Sichuan Thrush
Zoothera heinrichi,geomal1,Geomalia
Zoothera marginata,dasthr1,Dark-sided Thrush
Zoothera monticola,lobthr1,Long-billed Thrush
Zoothera everetti,evethr1,Everett's Thrush
Zoothera andromedae,sunthr1,Sunda Thrush
Zoothera aurea,scathr2,White's Thrush
Zoothera dauma,scathr8,Scaly Thrush
Zoothera major,scathr6,Amami Thrush
Zoothera neilgherriensis,scathr4,Nilgiri Thrush
Zoothera imbricata,scathr5,Sri Lanka Thrush
Zoothera terrestris,bonthr2,Bonin Thrush
Zoothera margaretae,sacthr2,Makira Thrush
Zoothera turipavae,sacthr3,Guadalcanal Thrush
Zoothera lunulata,oltthr1,Bassian Thrush
Zoothera talaseae,nebthr1,New Britain Thrush
Zoothera atrigena,bouthr1,Bougainville Thrush
Zoothera heinei,rutthr1,Russet-tailed Thrush
Zoothera machiki,fabthr1,Fawn-breasted Thrush
Cataponera turdoides,sulthr1,Sulawesi Thrush
Chlamydochaera jefferyi,fruith1,Fruit-hunter
Cochoa purpurea,purcoc1,Purple Cochoa
Cochoa viridis,grecoc1,Green Cochoa
Cochoa beccarii,sumcoc1,Sumatran Cochoa
Cochoa azurea,javcoc1,Javan Cochoa
Ixoreus naevius,varthr,Varied Thrush
Catharus gracilirostris,bbnthr1,Black-billed Nightingale-Thrush
Catharus aurantiirostris,obnthr1,Orange-billed Nightingale-Thrush
Catharus fuscater,sbnthr1,Slaty-backed Nightingale-Thrush
Catharus occidentalis,runthr1,Russet Nightingale-Thrush
Catharus frantzii,rcnthr1,Ruddy-capped Nightingale-Thrush
Catharus mexicanus,bhnthr1,Black-headed Nightingale-Thrush
Catharus dryas,spnthr1,Yellow-throated Nightingale-Thrush
Catharus maculatus,sponit2,Speckled Nightingale-Thrush
Catharus fuscescens,veery,Veery
Catharus minimus,gycthr,Gray-cheeked Thrush
Catharus bicknelli,bicthr,Bicknell's Thrush
Catharus ustulatus,swathr,Swainson's Thrush
Catharus guttatus,herthr,Hermit Thrush
Hylocichla mustelina,woothr,Wood Thrush
Entomodestes coracinus,blasol1,Black Solitaire
Entomodestes leucotis,whesol1,White-eared Solitaire
Cichlopsis leucogenys,rubsol1,Rufous-brown Solitaire
Ridgwayia pinicola,aztthr,Aztec Thrush
Geokichla sibirica,sibthr1,Siberian Thrush
Geokichla wardii,piethr1,Pied Thrush
Geokichla guttata,spgthr1,Spotted Ground-Thrush
Geokichla camaronensis,bkegrt1,Black-eared Ground-Thrush
Geokichla princei,grygrt1,Gray Ground-Thrush
Geokichla crossleyi,crgthr1,Crossley's Ground-Thrush
Geokichla oberlaenderi,obgthr1,Oberländer's Ground-Thrush
Geokichla piaggiae,abgthr1,Abyssinian Ground-Thrush
Geokichla gurneyi,orgthr1,Orange Ground-Thrush
Geokichla spiloptera,spwthr1,Spot-winged Thrush
Geokichla cinerea,ashthr1,Ashy Thrush
Geokichla dumasi,burthr1,Buru Thrush
Geokichla joiceyi,serthr2,Seram Thrush
Geokichla interpres,chcthr1,Chestnut-capped Thrush
Geokichla leucolaema,engthr1,Enggano Thrush
Geokichla dohertyi,chbthr1,Chestnut-backed Thrush
Geokichla peronii,orbthr1,Orange-banded Thrush
Geokichla schistacea,slbthr1,Slaty-backed Thrush
Geokichla erythronota,rubthr2,Rusty-backed Thrush
Geokichla mendeni,rabthr1,Red-and-black Thrush
Geokichla citrina,orhthr1,Orange-headed Thrush
Turdus mupinensis,chithr2,Chinese Thrush
Turdus simensis,grothr2,Ethiopian Thrush
